cnvdasm - ultima underworld conversation script disassembler / decompiler

loading game strings

could not load code ...
;
; conversation #2
; string block 0x0e01, name: goblin
;

0000:   START
00e5:   BPTOSP
00e6:   POPBP
00e7:   RET

00e8:   PUSHBP
00e9:   SPTOBP
00ea:   PUSHI #0000
00ec:   ADDSP
00ed:   PUSHI #0016
00ef:   PUSHI #0001
00f1:   STO
00f2:   PUSHI #0015
00f4:   PUSHI #0001
00f6:   STO
00f7:   PUSHI #0014
00f9:   PUSHI #0006
00fb:   STO
00fc:   CALL $0012
00fe:   BPTOSP
00ff:   POPBP
0100:   RET

0101:   PUSHBP
0102:   SPTOBP
0103:   PUSHI #0000
0105:   ADDSP
0106:   PUSHI #0014
0108:   PUSHI #0001
010a:   STO
010b:   CALL $0012
010d:   BPTOSP
010e:   POPBP
010f:   RET


 ;| xref: 042e 0569 0c3f 0cec 0dc3 0e17 108e
0110:   PUSHBP
0111:   SPTOBP
0112:   PUSHI #0000
0114:   ADDSP
0115:   PUSHI #0016
0117:   PUSHI #0001
0119:   STO
011a:   PUSHI #0014
011c:   PUSHI #0005
011e:   STO
011f:   PUSHI #0015
0121:   PUSHI #0001
0123:   STO
0124:   CALL $0012
0126:   BPTOSP
0127:   POPBP
0128:   RET

0129:   PUSHBP
012a:   SPTOBP
012b:   PUSHI #0000
012d:   ADDSP
012e:   PUSHI #0015
0130:   PUSHI #0006
0132:   STO
0133:   BPTOSP
0134:   POPBP
0135:   RET


 ;| xref: 102b
0136:   PUSHBP
0137:   SPTOBP
0138:   PUSHI #0000
013a:   ADDSP
013b:   PUSHI #0015
013d:   PUSHI_EFF #fffe
013f:   FETCHM
0140:   FETCHM
0141:   STO
0142:   CALL $0012
0144:   BPTOSP
0145:   POPBP
0146:   RET


 ;| xref: 0462 049e 0515
0147:   PUSHBP
0148:   SPTOBP
0149:   PUSHI #0000
014b:   ADDSP
014c:   PUSHI #0015
014e:   PUSHI #0002
0150:   STO
0151:   CALL $0012
0153:   BPTOSP
0154:   POPBP
0155:   RET


 ;| xref: 03a0 0581 0b63 1161
0156:   PUSHBP
0157:   SPTOBP
0158:   PUSHI #0000
015a:   ADDSP
015b:   PUSHI #0015
015d:   PUSHI #0001
015f:   STO
0160:   CALL $0012
0162:   BPTOSP
0163:   POPBP
0164:   RET


 ;| xref: 058e 0917 0d6d 1016 110d
0165:   PUSHBP
0166:   SPTOBP
0167:   PUSHI #0000
0169:   ADDSP
016a:   CALL $0012
016c:   BPTOSP
016d:   POPBP
016e:   RET

016f:   PUSHBP
0170:   SPTOBP
0171:   PUSHI #0000
0173:   ADDSP
0174:   PUSHI #0001
0176:   PUSHI_EFF #fffe
0178:   FETCHM
0179:   OFFSET
017a:   PUSHI #001d
017c:   FETCHM
017d:   STO
017e:   PUSHI #0002
0180:   PUSHI_EFF #fffe
0182:   FETCHM
0183:   OFFSET
0184:   PUSHI #001e
0186:   FETCHM
0187:   STO
0188:   BPTOSP
0189:   POPBP
018a:   RET

018b:   PUSHBP
018c:   SPTOBP
018d:   PUSHI #0004
018f:   ADDSP
0190:   PUSHI #0001
0192:   PUSHI_EFF #0002
0194:   OFFSET
0195:   PUSHI #001d
0197:   FETCHM
0198:   PUSHI #0001
019a:   PUSHI_EFF #fffd
019c:   FETCHM
019d:   OFFSET
019e:   FETCHM
019f:   OPSUB
01a0:   STO
01a1:   PUSHI #0002
01a3:   PUSHI_EFF #0002
01a5:   OFFSET
01a6:   PUSHI #001e
01a8:   FETCHM
01a9:   PUSHI #0002
01ab:   PUSHI_EFF #fffd
01ad:   FETCHM
01ae:   OFFSET
01af:   FETCHM
01b0:   OPSUB
01b1:   STO
01b2:   PUSHI #0002
01b4:   PUSHI_EFF #0002
01b6:   OFFSET
01b7:   FETCHM
01b8:   PUSHI #0000
01ba:   TSTLT
01bb:   BEQ +001f // target: 01db
01bd:   PUSHI #0002
01bf:   PUSHI_EFF #0002
01c1:   OFFSET
01c2:   PUSHI #0002
01c4:   PUSHI_EFF #0002
01c6:   OFFSET
01c7:   FETCHM
01c8:   PUSHI #05a0
01ca:   OPADD
01cb:   STO
01cc:   PUSHI #0001
01ce:   PUSHI_EFF #0002
01d0:   OFFSET
01d1:   PUSHI #0001
01d3:   PUSHI_EFF #0002
01d5:   OFFSET
01d6:   FETCHM
01d7:   PUSHI #0001
01d9:   OPSUB
01da:   STO

 ;| xref: 01bb
01db:   PUSHI #0001
01dd:   PUSHI_EFF #0002
01df:   OFFSET
01e0:   FETCHM
01e1:   PUSHI #0001
01e3:   PUSHI_EFF #fffe
01e5:   FETCHM
01e6:   OFFSET
01e7:   FETCHM
01e8:   TSTGE
01e9:   PUSHI #0002
01eb:   PUSHI_EFF #0002
01ed:   OFFSET
01ee:   FETCHM
01ef:   PUSHI #0002
01f1:   PUSHI_EFF #fffe
01f3:   FETCHM
01f4:   OFFSET
01f5:   FETCHM
01f6:   TSTGE
01f7:   OPAND
01f8:   BEQ +000b // target: 0204
01fa:   PUSHI #0001
01fc:   PUSHI_EFF #0001
01fe:   SWAP
01ff:   STO
0200:   JMP $020c
0202:   BRA +0009 // target: 020c

 ;| xref: 01f8
0204:   PUSHI #0000
0206:   PUSHI_EFF #0001
0208:   SWAP
0209:   STO
020a:   JMP $020c

 ;| xref: 0200 0202 020a
020c:   PUSHI_EFF #0001
020e:   FETCHM
020f:   SAVE_REG
0210:   POP
0211:   BPTOSP
0212:   POPBP
0213:   RET

0214:   PUSHBP
0215:   SPTOBP
0216:   PUSHI #0000
0218:   ADDSP
0219:   PUSHI #0001
021b:   PUSHI_EFF #fffe
021d:   FETCHM
021e:   OFFSET
021f:   PUSHI #001d
0221:   FETCHM
0222:   PUSHI #0001
0224:   PUSHI_EFF #fffc
0226:   FETCHM
0227:   OFFSET
0228:   FETCHM
0229:   OPSUB
022a:   STO
022b:   PUSHI #0002
022d:   PUSHI_EFF #fffe
022f:   FETCHM
0230:   OFFSET
0231:   PUSHI #001e
0233:   FETCHM
0234:   PUSHI #0002
0236:   PUSHI_EFF #fffc
0238:   FETCHM
0239:   OFFSET
023a:   FETCHM
023b:   OPSUB
023c:   STO
023d:   PUSHI #0002
023f:   PUSHI_EFF #fffe
0241:   FETCHM
0242:   OFFSET
0243:   FETCHM
0244:   PUSHI #0000
0246:   TSTLT
0247:   BEQ +0023 // target: 026b
0249:   PUSHI #0002
024b:   PUSHI_EFF #fffe
024d:   FETCHM
024e:   OFFSET
024f:   PUSHI #0002
0251:   PUSHI_EFF #fffe
0253:   FETCHM
0254:   OFFSET
0255:   FETCHM
0256:   PUSHI #05a0
0258:   OPADD
0259:   STO
025a:   PUSHI #0001
025c:   PUSHI_EFF #fffe
025e:   FETCHM
025f:   OFFSET
0260:   PUSHI #0001
0262:   PUSHI_EFF #fffe
0264:   FETCHM
0265:   OFFSET
0266:   FETCHM
0267:   PUSHI #0001
0269:   OPSUB
026a:   STO

 ;| xref: 0247
026b:   PUSHI #0001
026d:   PUSHI_EFF #fffe
026f:   FETCHM
0270:   OFFSET
0271:   PUSHI #0001
0273:   PUSHI_EFF #fffd
0275:   FETCHM
0276:   OFFSET
0277:   FETCHM
0278:   PUSHI #0001
027a:   PUSHI_EFF #fffe
027c:   FETCHM
027d:   OFFSET
027e:   FETCHM
027f:   OPSUB
0280:   STO
0281:   PUSHI #0002
0283:   PUSHI_EFF #fffe
0285:   FETCHM
0286:   OFFSET
0287:   PUSHI #0002
0289:   PUSHI_EFF #fffd
028b:   FETCHM
028c:   OFFSET
028d:   FETCHM
028e:   PUSHI #0002
0290:   PUSHI_EFF #fffe
0292:   FETCHM
0293:   OFFSET
0294:   FETCHM
0295:   OPSUB
0296:   STO
0297:   PUSHI #0002
0299:   PUSHI_EFF #fffe
029b:   FETCHM
029c:   OFFSET
029d:   FETCHM
029e:   PUSHI #0000
02a0:   TSTLT
02a1:   BEQ +0023 // target: 02c5
02a3:   PUSHI #0002
02a5:   PUSHI_EFF #fffe
02a7:   FETCHM
02a8:   OFFSET
02a9:   PUSHI #0002
02ab:   PUSHI_EFF #fffe
02ad:   FETCHM
02ae:   OFFSET
02af:   FETCHM
02b0:   PUSHI #05a0
02b2:   OPADD
02b3:   STO
02b4:   PUSHI #0001
02b6:   PUSHI_EFF #fffe
02b8:   FETCHM
02b9:   OFFSET
02ba:   PUSHI #0001
02bc:   PUSHI_EFF #fffe
02be:   FETCHM
02bf:   OFFSET
02c0:   FETCHM
02c1:   PUSHI #0001
02c3:   OPSUB
02c4:   STO

 ;| xref: 02a1
02c5:   BPTOSP
02c6:   POPBP
02c7:   RET

02c8:   PUSHBP
02c9:   SPTOBP
02ca:   PUSHI #0000
02cc:   ADDSP
02cd:   PUSHI #0001
02cf:   PUSHI_EFF #fffe
02d1:   FETCHM
02d2:   OFFSET
02d3:   PUSHI #001d
02d5:   FETCHM
02d6:   PUSHI #0001
02d8:   PUSHI_EFF #fffd
02da:   FETCHM
02db:   OFFSET
02dc:   FETCHM
02dd:   OPSUB
02de:   STO
02df:   PUSHI #0002
02e1:   PUSHI_EFF #fffe
02e3:   FETCHM
02e4:   OFFSET
02e5:   PUSHI #001e
02e7:   FETCHM
02e8:   PUSHI #0002
02ea:   PUSHI_EFF #fffd
02ec:   FETCHM
02ed:   OFFSET
02ee:   FETCHM
02ef:   OPSUB
02f0:   STO
02f1:   PUSHI #0002
02f3:   PUSHI_EFF #fffe
02f5:   FETCHM
02f6:   OFFSET
02f7:   FETCHM
02f8:   PUSHI #0000
02fa:   TSTLT
02fb:   BEQ +0023 // target: 031f
02fd:   PUSHI #0002
02ff:   PUSHI_EFF #fffe
0301:   FETCHM
0302:   OFFSET
0303:   PUSHI #0002
0305:   PUSHI_EFF #fffe
0307:   FETCHM
0308:   OFFSET
0309:   FETCHM
030a:   PUSHI #05a0
030c:   OPADD
030d:   STO
030e:   PUSHI #0001
0310:   PUSHI_EFF #fffe
0312:   FETCHM
0313:   OFFSET
0314:   PUSHI #0001
0316:   PUSHI_EFF #fffe
0318:   FETCHM
0319:   OFFSET
031a:   FETCHM
031b:   PUSHI #0001
031d:   OPSUB
031e:   STO

 ;| xref: 02fb
031f:   BPTOSP
0320:   POPBP
0321:   RET

0322:   PUSHBP
0323:   SPTOBP
0324:   PUSHI #0004
0326:   ADDSP
0327:   PUSHI #000f
0329:   PUSHI_EFF #0001
032b:   SWAP
032c:   STO
032d:   PUSHI_EFF #0001
032f:   PUSHI #000f
0331:   PUSHI_EFF #0002
0333:   SWAP
0334:   STO
0335:   PUSHI_EFF #0002
0337:   PUSHI #2711
0339:   PUSHI_EFF #0003
033b:   SWAP
033c:   STO
033d:   PUSHI_EFF #0003
033f:   PUSHI #0002
0341:   CALLI $0033
0343:   POP
0344:   POP
0345:   POP
0346:   PUSH_REG
0347:   PUSHI #0001
0349:   OPADD
034a:   PUSHI_EFF #0004
034c:   SWAP
034d:   STO
034e:   PUSHI_EFF #0004
0350:   PUSHI #0002
0352:   CALLI $0033
0354:   POP
0355:   POP
0356:   POP
0357:   BPTOSP
0358:   POPBP
0359:   RET


 ;| xref: 079e
035a:   PUSHBP
035b:   SPTOBP
035c:   PUSHI #0005
035e:   ADDSP
035f:   PUSHI #0001
0361:   PUSHI_EFF #0001
0363:   SWAP
0364:   STO
0365:   PUSHI_EFF #0001
0367:   PUSHI #0001
0369:   CALLI $0002
036b:   POP
036c:   POP
036d:   PUSHI #0002
036f:   SAY_OP
0370:   PUSHI #000f
0372:   PUSHI_EFF #0002
0374:   SWAP
0375:   STO
0376:   PUSHI_EFF #0002
0378:   PUSHI #000f
037a:   PUSHI_EFF #0003
037c:   SWAP
037d:   STO
037e:   PUSHI_EFF #0003
0380:   PUSHI #2711
0382:   PUSHI_EFF #0004
0384:   SWAP
0385:   STO
0386:   PUSHI_EFF #0004
0388:   PUSHI #0002
038a:   CALLI $0033
038c:   POP
038d:   POP
038e:   POP
038f:   PUSH_REG
0390:   PUSHI #0001
0392:   OPADD
0393:   PUSHI_EFF #0005
0395:   SWAP
0396:   STO
0397:   PUSHI_EFF #0005
0399:   PUSHI #0002
039b:   CALLI $0033
039d:   POP
039e:   POP
039f:   POP
03a0:   CALL $0156
03a2:   BPTOSP
03a3:   POPBP
03a4:   RET


 ;| xref: 07d6
03a5:   PUSHBP
03a6:   SPTOBP
03a7:   PUSHI #0016
03a9:   ADDSP
03aa:   PUSHI #0003
03ac:   SAY_OP
03ad:   PUSHI #0001
03af:   PUSHI_EFF #0001
03b1:   OFFSET
03b2:   PUSHI #0004
03b4:   STO
03b5:   PUSHI #0002
03b7:   PUSHI_EFF #0001
03b9:   OFFSET
03ba:   PUSHI #0005
03bc:   STO
03bd:   PUSHI #0003
03bf:   PUSHI_EFF #0001
03c1:   OFFSET
03c2:   PUSHI #0000
03c4:   STO
03c5:   PUSHI_EFF #0001
03c7:   PUSHI #0000
03c9:   CALLI $0000
03cb:   POP
03cc:   POP
03cd:   PUSH_REG
03ce:   PUSHI_EFF #0016
03d0:   SWAP
03d1:   STO
03d2:   PUSHI_EFF #0016
03d4:   FETCHM
03d5:   PUSHI #0001
03d7:   TSTEQ
03d8:   BEQ +0005 // target: 03de
03da:   CALL $03ed
03dc:   JMP $03ea

 ;| xref: 03d8
03de:   PUSHI_EFF #0016
03e0:   FETCHM
03e1:   PUSHI #0002
03e3:   TSTEQ
03e4:   BEQ +0005 // target: 03ea
03e6:   CALL $0469
03e8:   JMP $03ea

 ;| xref: 03dc 03e4 03e8
03ea:   BPTOSP
03eb:   POPBP
03ec:   RET


 ;| xref: 03da
03ed:   PUSHBP
03ee:   SPTOBP
03ef:   PUSHI #0016
03f1:   ADDSP
03f2:   PUSHI #0006
03f4:   SAY_OP
03f5:   PUSHI #0001
03f7:   PUSHI_EFF #0001
03f9:   OFFSET
03fa:   PUSHI #0007
03fc:   STO
03fd:   PUSHI #0002
03ff:   PUSHI_EFF #0001
0401:   OFFSET
0402:   PUSHI #0008
0404:   STO
0405:   PUSHI #0003
0407:   PUSHI_EFF #0001
0409:   OFFSET
040a:   PUSHI #0000
040c:   STO
040d:   PUSHI_EFF #0001
040f:   PUSHI #0000
0411:   CALLI $0000
0413:   POP
0414:   POP
0415:   PUSH_REG
0416:   PUSHI_EFF #0016
0418:   SWAP
0419:   STO
041a:   PUSHI_EFF #0016
041c:   FETCHM
041d:   PUSHI #0001
041f:   TSTEQ
0420:   BEQ +0005 // target: 0426
0422:   CALL $0435
0424:   JMP $0432

 ;| xref: 0420
0426:   PUSHI_EFF #0016
0428:   FETCHM
0429:   PUSHI #0002
042b:   TSTEQ
042c:   BEQ +0005 // target: 0432
042e:   CALL $0110
0430:   JMP $0432

 ;| xref: 0424 042c 0430
0432:   BPTOSP
0433:   POPBP
0434:   RET


 ;| xref: 0422 04aa
0435:   PUSHBP
0436:   SPTOBP
0437:   PUSHI #0016
0439:   ADDSP
043a:   PUSHI #0009
043c:   SAY_OP
043d:   PUSHI #0001
043f:   PUSHI_EFF #0001
0441:   OFFSET
0442:   PUSHI #000a
0444:   STO
0445:   PUSHI #0002
0447:   PUSHI_EFF #0001
0449:   OFFSET
044a:   PUSHI #0000
044c:   STO
044d:   PUSHI_EFF #0001
044f:   PUSHI #0000
0451:   CALLI $0000
0453:   POP
0454:   POP
0455:   PUSH_REG
0456:   PUSHI_EFF #0016
0458:   SWAP
0459:   STO
045a:   PUSHI_EFF #0016
045c:   FETCHM
045d:   PUSHI #0001
045f:   TSTEQ
0460:   BEQ +0005 // target: 0466
0462:   CALL $0147
0464:   JMP $0466

 ;| xref: 0460 0464
0466:   BPTOSP
0467:   POPBP
0468:   RET


 ;| xref: 03e6
0469:   PUSHBP
046a:   SPTOBP
046b:   PUSHI #0016
046d:   ADDSP
046e:   PUSHI #000b
0470:   SAY_OP
0471:   PUSHI #0001
0473:   PUSHI_EFF #0001
0475:   OFFSET
0476:   PUSHI #000c
0478:   STO
0479:   PUSHI #0002
047b:   PUSHI_EFF #0001
047d:   OFFSET
047e:   PUSHI #000d
0480:   STO
0481:   PUSHI #0003
0483:   PUSHI_EFF #0001
0485:   OFFSET
0486:   PUSHI #0000
0488:   STO
0489:   PUSHI_EFF #0001
048b:   PUSHI #0000
048d:   CALLI $0000
048f:   POP
0490:   POP
0491:   PUSH_REG
0492:   PUSHI_EFF #0016
0494:   SWAP
0495:   STO
0496:   PUSHI_EFF #0016
0498:   FETCHM
0499:   PUSHI #0001
049b:   TSTEQ
049c:   BEQ +0005 // target: 04a2
049e:   CALL $0147
04a0:   JMP $04ae

 ;| xref: 049c
04a2:   PUSHI_EFF #0016
04a4:   FETCHM
04a5:   PUSHI #0002
04a7:   TSTEQ
04a8:   BEQ +0005 // target: 04ae
04aa:   CALL $0435
04ac:   JMP $04ae

 ;| xref: 04a0 04a8 04ac
04ae:   BPTOSP
04af:   POPBP
04b0:   RET

04b1:   PUSHBP
04b2:   SPTOBP
04b3:   PUSHI #0016
04b5:   ADDSP
04b6:   PUSHI #000e
04b8:   SAY_OP
04b9:   PUSHI #0001
04bb:   PUSHI_EFF #0001
04bd:   OFFSET
04be:   PUSHI #000f
04c0:   STO
04c1:   PUSHI #0002
04c3:   PUSHI_EFF #0001
04c5:   OFFSET
04c6:   PUSHI #0010
04c8:   STO
04c9:   PUSHI #0003
04cb:   PUSHI_EFF #0001
04cd:   OFFSET
04ce:   PUSHI #0011
04d0:   STO
04d1:   PUSHI #0004
04d3:   PUSHI_EFF #0001
04d5:   OFFSET
04d6:   PUSHI #0000
04d8:   STO
04d9:   PUSHI_EFF #0001
04db:   PUSHI #0000
04dd:   CALLI $0000
04df:   POP
04e0:   POP
04e1:   PUSH_REG
04e2:   PUSHI_EFF #0016
04e4:   SWAP
04e5:   STO
04e6:   PUSHI_EFF #0016
04e8:   FETCHM
04e9:   PUSHI #0001
04eb:   TSTEQ
04ec:   BEQ +0005 // target: 04f2
04ee:   CALL $050d
04f0:   JMP $050a

 ;| xref: 04ec
04f2:   PUSHI_EFF #0016
04f4:   FETCHM
04f5:   PUSHI #0002
04f7:   TSTEQ
04f8:   BEQ +0005 // target: 04fe
04fa:   CALL $051a
04fc:   JMP $050a

 ;| xref: 04f8
04fe:   PUSHI_EFF #0016
0500:   FETCHM
0501:   PUSHI #0003
0503:   TSTEQ
0504:   BEQ +0005 // target: 050a
0506:   CALL $056e
0508:   JMP $050a

 ;| xref: 04f0 04fc 0504 0508
050a:   BPTOSP
050b:   POPBP
050c:   RET


 ;| xref: 04ee
050d:   PUSHBP
050e:   SPTOBP
050f:   PUSHI #0000
0511:   ADDSP
0512:   PUSHI #0012
0514:   SAY_OP
0515:   CALL $0147
0517:   BPTOSP
0518:   POPBP
0519:   RET


 ;| xref: 04fa
051a:   PUSHBP
051b:   SPTOBP
051c:   PUSHI #0006
051e:   ADDSP
051f:   PUSHI #0013
0521:   SAY_OP
0522:   PUSHI #003c
0524:   PUSHI_EFF #0001
0526:   SWAP
0527:   STO
0528:   PUSHI_EFF #0001
052a:   PUSHI #0001
052c:   PUSHI_EFF #0002
052e:   SWAP
052f:   STO
0530:   PUSHI_EFF #0002
0532:   PUSHI #0002
0534:   CALLI $0013
0536:   POP
0537:   POP
0538:   POP
0539:   PUSHI #000f
053b:   PUSHI_EFF #0003
053d:   SWAP
053e:   STO
053f:   PUSHI_EFF #0003
0541:   PUSHI #000f
0543:   PUSHI_EFF #0004
0545:   SWAP
0546:   STO
0547:   PUSHI_EFF #0004
0549:   PUSHI #2711
054b:   PUSHI_EFF #0005
054d:   SWAP
054e:   STO
054f:   PUSHI_EFF #0005
0551:   PUSHI #0002
0553:   CALLI $0033
0555:   POP
0556:   POP
0557:   POP
0558:   PUSH_REG
0559:   PUSHI #0001
055b:   OPADD
055c:   PUSHI_EFF #0006
055e:   SWAP
055f:   STO
0560:   PUSHI_EFF #0006
0562:   PUSHI #0002
0564:   CALLI $0033
0566:   POP
0567:   POP
0568:   POP
0569:   CALL $0110
056b:   BPTOSP
056c:   POPBP
056d:   RET


 ;| xref: 0506
056e:   PUSHBP
056f:   SPTOBP
0570:   PUSHI #0001
0572:   ADDSP
0573:   PUSHI #0014
0575:   PUSHI_EFF #0001
0577:   SWAP
0578:   STO
0579:   PUSHI_EFF #0001
057b:   PUSHI #0001
057d:   CALLI $0002
057f:   POP
0580:   POP
0581:   CALL $0156
0583:   BPTOSP
0584:   POPBP
0585:   RET

0586:   PUSHBP
0587:   SPTOBP
0588:   PUSHI #0000
058a:   ADDSP
058b:   PUSHI #0015
058d:   SAY_OP
058e:   CALL $0165
0590:   BPTOSP
0591:   POPBP
0592:   RET


 ;| xref: 0a39
0593:   PUSHBP
0594:   SPTOBP
0595:   PUSHI #0007
0597:   ADDSP
0598:   PUSHI_EFF #0002
059a:   PUSHI #0001
059c:   STO
059d:   PUSHI_EFF #0004
059f:   PUSHI #0000
05a1:   STO
05a2:   PUSHI_EFF #fffe
05a4:   FETCHM
05a5:   FETCHM
05a6:   PUSHI #03e8
05a8:   TSTGT
05a9:   BEQ +0011 // target: 05bb
05ab:   PUSHI_EFF #fffe
05ad:   FETCHM
05ae:   PUSHI_EFF #fffe
05b0:   FETCHM
05b1:   FETCHM
05b2:   PUSHI #03e8
05b4:   OPSUB
05b5:   STO
05b6:   PUSHI_EFF #0004
05b8:   PUSHI #0001
05ba:   STO

 ;| xref: 05a9 05d8
05bb:   PUSHI_EFF #fffe
05bd:   FETCHM
05be:   FETCHM
05bf:   PUSHI #0001
05c1:   TSTNE
05c2:   BEQ +0017 // target: 05da
05c4:   PUSHI_EFF #0002
05c6:   PUSHI_EFF #0002
05c8:   FETCHM
05c9:   PUSHI #0002
05cb:   OPMUL
05cc:   STO
05cd:   PUSHI_EFF #fffe
05cf:   FETCHM
05d0:   PUSHI_EFF #fffe
05d2:   FETCHM
05d3:   FETCHM
05d4:   PUSHI #0001
05d6:   OPSUB
05d7:   STO
05d8:   JMP $05bb

 ;| xref: 05c2
05da:   PUSHI_EFF #0003
05dc:   PUSHI #0083
05de:   PUSHI_EFF #0005
05e0:   SWAP
05e1:   STO
05e2:   PUSHI_EFF #0005
05e4:   PUSHI #0001
05e6:   CALLI $0012
05e8:   POP
05e9:   POP
05ea:   PUSH_REG
05eb:   STO
05ec:   PUSHI_EFF #0004
05ee:   FETCHM
05ef:   BEQ +0022 // target: 0612
05f1:   PUSHI_EFF #0003
05f3:   FETCHM
05f4:   PUSHI_EFF #0002
05f6:   FETCHM
05f7:   OPDIV
05f8:   PUSHI #0002
05fa:   OPMOD
05fb:   PUSHI #0001
05fd:   TSTEQ
05fe:   BEQ +000b // target: 060a
0600:   PUSHI #0001
0602:   PUSHI_EFF #0001
0604:   SWAP
0605:   STO
0606:   JMP $0645
0608:   BRA +0009 // target: 0612

 ;| xref: 05fe
060a:   PUSHI #0000
060c:   PUSHI_EFF #0001
060e:   SWAP
060f:   STO
0610:   JMP $0645

 ;| xref: 05ef 0608
0612:   PUSHI_EFF #0003
0614:   FETCHM
0615:   PUSHI_EFF #0002
0617:   FETCHM
0618:   OPDIV
0619:   PUSHI #0002
061b:   OPMOD
061c:   PUSHI #0001
061e:   TSTNE
061f:   BEQ +0025 // target: 0645
0621:   PUSHI #0083
0623:   PUSHI_EFF #0006
0625:   SWAP
0626:   STO
0627:   PUSHI_EFF #0006
0629:   PUSHI_EFF #0003
062b:   FETCHM
062c:   PUSHI_EFF #0002
062e:   FETCHM
062f:   OPADD
0630:   PUSHI_EFF #0007
0632:   SWAP
0633:   STO
0634:   PUSHI_EFF #0007
0636:   PUSHI #0002
0638:   CALLI $0013
063a:   POP
063b:   POP
063c:   POP
